,gene-symbol,GO_ID,GO_term,gene-score
183,ACE,GO:0008217,regulation of blood pressure,2.0
184,ACE,GO:0008233,peptidase activity,2.0
185,ACE,GO:0008237,metallopeptidase activity,2.0
189,ACE,GO:0008238,exopeptidase activity,2.0
190,ACE,GO:0008240,tripeptidyl-peptidase activity,2.0
191,ACE,GO:0008241,peptidyl-dipeptidase activity,2.0
195,ACE,GO:0008270,zinc ion binding,2.0
196,ACE,GO:0008584,male gonad development,2.0
197,ACE,GO:0009410,response to xenobiotic stimulus,2.0
198,ACE,GO:0009792,embryo development ending in birth or egg hatching,2.0
199,ACE,GO:0009897,external side of plasma membrane,2.0
200,ACE,GO:0009925,basal plasma membrane,2.0
201,ACE,GO:0010608,post-transcriptional regulation of gene expression,2.0
202,ACE,GO:0010629,negative regulation of gene expression,2.0
203,ACE,GO:0010814,substance P catabolic process,2.0
204,ACE,GO:0010815,bradykinin catabolic process,2.0
205,ACE,GO:0014910,regulation of smooth muscle cell migration,2.0
206,ACE,GO:0019229,regulation of vasoconstriction,2.0
207,ACE,GO:0019233,sensory perception of pain,2.0
208,ACE,GO:0031100,animal organ regeneration,2.0
209,ACE,GO:0031404,chloride ion binding,2.0
210,ACE,GO:0031434,mitogen-activated protein kinase kinase binding,2.0
211,ACE,GO:0031526,brush border membrane,2.0
212,ACE,GO:0031667,response to nutrient levels,2.0
213,ACE,GO:0031711,bradykinin receptor binding,2.0
214,ACE,GO:0032091,negative regulation of protein binding,2.0
215,ACE,GO:0032092,positive regulation of protein binding,2.0
216,ACE,GO:0032496,response to lipopolysaccharide,2.0
217,ACE,GO:0032943,mononuclear cell proliferation,2.0
218,ACE,GO:0034616,response to laminar fluid shear stress,2.0
219,ACE,GO:0035814,negative regulation of renal sodium excretion,2.0
220,ACE,GO:0042310,vasoconstriction,2.0
221,ACE,GO:0042445,hormone metabolic process,2.0
222,ACE,GO:0042447,hormone catabolic process,2.0
224,ACE,GO:0042755,eating behavior,2.0
225,ACE,GO:0043065,positive regulation of apoptotic process,2.0
226,ACE,GO:0043171,peptide catabolic process,2.0
227,ACE,GO:0045907,positive regulation of vasoconstriction,2.0
228,ACE,GO:0046325,negative regulation of glucose import,2.0
229,ACE,GO:0048167,regulation of synaptic plasticity,2.0
230,ACE,GO:0048286,lung alveolus development,2.0
231,ACE,GO:0050435,amyloid-beta metabolic process,2.0
232,ACE,GO:0050482,arachidonic acid secretion,2.0
233,ACE,GO:0050729,positive regulation of inflammatory response,2.0
234,ACE,GO:0050769,positive regulation of neurogenesis,2.0
235,ACE,GO:0051019,mitogen-activated protein kinase binding,2.0
236,ACE,GO:0060047,heart contraction,2.0
237,ACE,GO:0060177,regulation of angiotensin metabolic process,2.0
238,ACE,GO:0060218,hematopoietic stem cell differentiation,2.0
239,ACE,GO:0060978,angiogenesis involved in coronary vascular morphogenesis,2.0
240,ACE,GO:0061098,positive regulation of protein tyrosine kinase activity,2.0
241,ACE,GO:0070062,extracellular exosome,2.0
243,ACE,GO:0070573,metallodipeptidase activity,2.0
245,ACE,GO:0071333,cellular response to glucose stimulus,2.0
246,ACE,GO:0071548,response to dexamethasone,2.0
247,ACE,GO:0071838,cell proliferation in bone marrow,2.0
248,ACE,GO:0090281,negative regulation of calcium ion import,2.0
249,ACE,GO:0097066,response to thyroid hormone,2.0
250,ACE,GO:0097225,sperm midpiece,2.0
251,ACE,GO:0097746,blood vessel diameter maintenance,2.0
252,ACE,GO:1900086,positive regulation of peptidyl-tyrosine autophosphorylation,2.0
253,ACE,GO:1901363,heterocyclic compound binding,2.0
254,ACE,GO:1902033,regulation of hematopoietic stem cell proliferation,2.0
256,ACE,GO:1903597,negative regulation of gap junction assembly,2.0
257,ACE,GO:1904045,cellular response to aldosterone,2.0
258,ACE,GO:2000170,positive regulation of peptidyl-cysteine S-nitrosylation,2.0
259,ACHE,GO:0001507,acetylcholine catabolic process in synaptic cleft,2.0
260,ACHE,GO:0001540,amyloid-beta binding,2.0
261,ACHE,GO:0001919,regulation of receptor recycling,2.0
262,ACHE,GO:0002076,osteoblast development,2.0
263,ACHE,GO:0003990,acetylcholinesterase activity,2.0
267,ACHE,GO:0004104,cholinesterase activity,2.0
268,ACHE,GO:0005515,protein binding,2.0
269,ACHE,GO:0005518,collagen binding,2.0
270,ACHE,GO:0005576,extracellular region,2.0
272,ACHE,GO:0005604,basement membrane,2.0
273,ACHE,GO:0005615,extracellular space,2.0
274,ACHE,GO:0005634,nucleus,2.0
275,ACHE,GO:0005794,Golgi apparatus,2.0
276,ACHE,GO:0005886,plasma membrane,2.0
277,ACHE,GO:0006581,acetylcholine catabolic process,2.0
280,ACHE,GO:0007155,cell adhesion,2.0
281,ACHE,GO:0007399,nervous system development,2.0
282,ACHE,GO:0007416,synapse assembly,2.0
283,ACHE,GO:0009986,cell surface,2.0
284,ACHE,GO:0016020,membrane,2.0
285,ACHE,GO:0016787,hydrolase activity,2.0
286,ACHE,GO:0017171,serine hydrolase activity,2.0
287,ACHE,GO:0031594,neuromuscular junction,2.0
288,ACHE,GO:0031623,receptor internalization,2.0
289,ACHE,GO:0032223,"negative regulation of synaptic transmission, cholinergic",2.0
290,ACHE,GO:0042166,acetylcholine binding,2.0
292,ACHE,GO:0042803,protein homodimerization activity,2.0
293,ACHE,GO:0042982,amyloid precursor protein metabolic process,2.0
294,ACHE,GO:0043083,synaptic cleft,2.0
295,ACHE,GO:0043236,laminin binding,2.0
296,ACHE,GO:0043621,protein self-association,2.0
297,ACHE,GO:0045202,synapse,2.0
298,ACHE,GO:0048471,perinuclear region of cytoplasm,2.0
299,ACHE,GO:0050714,positive regulation of protein secretion,2.0
300,ACHE,GO:0060041,retina development in camera-type eye,2.0
301,ACHE,GO:0095500,acetylcholine receptor signaling pathway,2.0
302,ACHE,GO:0120162,positive regulation of cold-induced thermogenesis,2.0
463,ACTN4,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,2.0
464,ACTN4,GO:0001666,response to hypoxia,2.0
465,ACTN4,GO:0001725,stress fiber,2.0
466,ACTN4,GO:0001882,nucleoside binding,2.0
467,ACTN4,GO:0003713,transcription coactivator activity,2.0
468,ACTN4,GO:0003723,RNA binding,2.0
469,ACTN4,GO:0003779,actin binding,2.0
470,ACTN4,GO:0005178,integrin binding,2.0
471,ACTN4,GO:0005509,calcium ion binding,2.0
472,ACTN4,GO:0005515,protein binding,2.0
473,ACTN4,GO:0005576,extracellular region,2.0
474,ACTN4,GO:0005615,extracellular space,2.0
475,ACTN4,GO:0005634,nucleus,2.0
476,ACTN4,GO:0005737,cytoplasm,2.0
478,ACTN4,GO:0005829,cytosol,2.0
479,ACTN4,GO:0005886,plasma membrane,2.0
480,ACTN4,GO:0005925,focal adhesion,2.0
481,ACTN4,GO:0015031,protein transport,2.0
482,ACTN4,GO:0015629,actin cytoskeleton,2.0
484,ACTN4,GO:0016604,nuclear body,2.0
485,ACTN4,GO:0016922,nuclear receptor binding,2.0
486,ACTN4,GO:0030018,Z disc,2.0
487,ACTN4,GO:0030036,actin cytoskeleton organization,2.0
488,ACTN4,GO:0030050,vesicle transport along actin filament,2.0
489,ACTN4,GO:0030054,cell junction,2.0
490,ACTN4,GO:0030335,positive regulation of cell migration,2.0
491,ACTN4,GO:0030374,nuclear receptor coactivator activity,2.0
492,ACTN4,GO:0030864,cortical actin cytoskeleton,2.0
493,ACTN4,GO:0031093,platelet alpha granule lumen,2.0
494,ACTN4,GO:0031143,pseudopodium,2.0
495,ACTN4,GO:0031490,chromatin DNA binding,2.0
496,ACTN4,GO:0032417,positive regulation of sodium:proton antiporter activity,2.0
497,ACTN4,GO:0032991,protein-containing complex,2.0
498,ACTN4,GO:0033209,tumor necrosis factor-mediated signaling pathway,2.0
499,ACTN4,GO:0035357,peroxisome proliferator activated receptor signaling pathway,2.0
500,ACTN4,GO:0042803,protein homodimerization activity,2.0
501,ACTN4,GO:0042974,nuclear retinoic acid receptor binding,2.0
502,ACTN4,GO:0042981,regulation of apoptotic process,2.0
503,ACTN4,GO:0042995,cell projection,2.0
504,ACTN4,GO:0043005,neuron projection,2.0
505,ACTN4,GO:0044325,transmembrane transporter binding,2.0
506,ACTN4,GO:0045893,positive regulation of DNA-templated transcription,2.0
507,ACTN4,GO:0047485,protein N-terminus binding,2.0
508,ACTN4,GO:0048384,retinoic acid receptor signaling pathway,2.0
509,ACTN4,GO:0048471,perinuclear region of cytoplasm,2.0
510,ACTN4,GO:0051015,actin filament binding,2.0
513,ACTN4,GO:0055001,muscle cell development,2.0
514,ACTN4,GO:0070062,extracellular exosome,2.0
515,ACTN4,GO:1900025,negative regulation of substrate adhesion-dependent cell spreading,2.0
516,ACTN4,GO:1901224,positive regulation of NIK/NF-kappaB signaling,2.0
517,ACTN4,GO:1903506,regulation of nucleic acid-templated transcription,2.0
518,ACTN4,GO:1990904,ribonucleoprotein complex,2.0
528,ADA,GO:0000255,allantoin metabolic process,2.0
529,ADA,GO:0001666,response to hypoxia,2.0
530,ADA,GO:0001829,trophectodermal cell differentiation,2.0
531,ADA,GO:0001889,liver development,2.0
532,ADA,GO:0001890,placenta development,2.0
533,ADA,GO:0002314,germinal center B cell differentiation,2.0
534,ADA,GO:0002467,germinal center formation,2.0
535,ADA,GO:0002636,positive regulation of germinal center formation,2.0
536,ADA,GO:0002686,negative regulation of leukocyte migration,2.0
537,ADA,GO:0002901,mature B cell apoptotic process,2.0
538,ADA,GO:0002906,negative regulation of mature B cell apoptotic process,2.0
539,ADA,GO:0004000,adenosine deaminase activity,2.0
543,ADA,GO:0005515,protein binding,2.0
544,ADA,GO:0005764,lysosome,2.0
545,ADA,GO:0005829,cytosol,2.0
548,ADA,GO:0005886,plasma membrane,2.0
549,ADA,GO:0006154,adenosine catabolic process,2.0
553,ADA,GO:0006157,deoxyadenosine catabolic process,2.0
554,ADA,GO:0006196,AMP catabolic process,2.0
555,ADA,GO:0006939,smooth muscle contraction,2.0
556,ADA,GO:0007155,cell adhesion,2.0
557,ADA,GO:0008270,zinc ion binding,2.0
559,ADA,GO:0009897,external side of plasma membrane,2.0
561,ADA,GO:0009986,cell surface,2.0
562,ADA,GO:0010035,response to inorganic substance,2.0
563,ADA,GO:0010460,positive regulation of heart rate,2.0
564,ADA,GO:0014074,response to purine-containing compound,2.0
565,ADA,GO:0016020,membrane,2.0
566,ADA,GO:0019239,deaminase activity,2.0
567,ADA,GO:0019722,calcium-mediated signaling,2.0
568,ADA,GO:0030890,positive regulation of B cell proliferation,2.0
569,ADA,GO:0032261,purine nucleotide salvage,2.0
570,ADA,GO:0032263,GMP salvage,2.0
571,ADA,GO:0033077,T cell differentiation in thymus,2.0
572,ADA,GO:0033089,positive regulation of T cell differentiation in thymus,2.0
573,ADA,GO:0033632,regulation of cell-cell adhesion mediated by integrin,2.0
574,ADA,GO:0042100,B cell proliferation,2.0
575,ADA,GO:0042110,T cell activation,2.0
577,ADA,GO:0043084,penile erection,2.0
578,ADA,GO:0043101,purine-containing compound salvage,2.0
579,ADA,GO:0043103,hypoxanthine salvage,2.0
580,ADA,GO:0044209,AMP salvage,2.0
581,ADA,GO:0045987,positive regulation of smooth muscle contraction,2.0
582,ADA,GO:0046059,dAMP catabolic process,2.0
583,ADA,GO:0046061,dATP catabolic process,2.0
584,ADA,GO:0046085,adenosine metabolic process,2.0
585,ADA,GO:0046103,inosine biosynthetic process,2.0
588,ADA,GO:0046111,xanthine biosynthetic process,2.0
589,ADA,GO:0046632,alpha-beta T cell differentiation,2.0
590,ADA,GO:0046638,positive regulation of alpha-beta T cell differentiation,2.0
591,ADA,GO:0046936,2'-deoxyadenosine deaminase activity,2.0
592,ADA,GO:0048286,lung alveolus development,2.0
593,ADA,GO:0048541,Peyer's patch development,2.0
594,ADA,GO:0048566,embryonic digestive tract development,2.0
595,ADA,GO:0050728,negative regulation of inflammatory response,2.0
596,ADA,GO:0050850,positive regulation of calcium-mediated signaling,2.0
597,ADA,GO:0050852,T cell receptor signaling pathway,2.0
598,ADA,GO:0050862,positive regulation of T cell receptor signaling pathway,2.0
599,ADA,GO:0050900,leukocyte migration,2.0
600,ADA,GO:0060169,negative regulation of adenosine receptor signaling pathway,2.0
602,ADA,GO:0060205,cytoplasmic vesicle lumen,2.0
603,ADA,GO:0060407,negative regulation of penile erection,2.0
604,ADA,GO:0070161,anchoring junction,2.0
605,ADA,GO:0070242,thymocyte apoptotic process,2.0
606,ADA,GO:0070244,negative regulation of thymocyte apoptotic process,2.0
607,ADA,GO:0070254,mucus secretion,2.0
608,ADA,GO:0070256,negative regulation of mucus secretion,2.0
609,ADCY3,GO:0004016,adenylate cyclase activity,2.0
611,ADCY3,GO:0005516,calmodulin binding,2.0
612,ADCY3,GO:0005524,ATP binding,2.0
613,ADCY3,GO:0005737,cytoplasm,2.0
614,ADCY3,GO:0005794,Golgi apparatus,2.0
615,ADCY3,GO:0005886,plasma membrane,2.0
618,ADCY3,GO:0005929,cilium,2.0
619,ADCY3,GO:0006171,cAMP biosynthetic process,2.0
621,ADCY3,GO:0007165,signal transduction,2.0
622,ADCY3,GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,2.0
624,ADCY3,GO:0007338,single fertilization,2.0
625,ADCY3,GO:0007340,acrosome reaction,2.0
626,ADCY3,GO:0007608,sensory perception of smell,2.0
627,ADCY3,GO:0008355,olfactory learning,2.0
628,ADCY3,GO:0016020,membrane,2.0
630,ADCY3,GO:0030317,flagellated sperm motility,2.0
631,ADCY3,GO:0035556,intracellular signal transduction,2.0
632,ADCY3,GO:0046872,metal ion binding,2.0
633,ADCY3,GO:0060170,ciliary membrane,2.0
634,ADCY3,GO:1904322,cellular response to forskolin,2.0
635,ADCY5,GO:0001973,G protein-coupled adenosine receptor signaling pathway,2.0
636,ADCY5,GO:0004016,adenylate cyclase activity,2.0
639,ADCY5,GO:0005524,ATP binding,2.0
640,ADCY5,GO:0005886,plasma membrane,2.0
643,ADCY5,GO:0005929,cilium,2.0
644,ADCY5,GO:0006171,cAMP biosynthetic process,2.0
647,ADCY5,GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,2.0
649,ADCY5,GO:0007191,adenylate cyclase-activating dopamine receptor signaling pathway,2.0
650,ADCY5,GO:0007193,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,2.0
651,ADCY5,GO:0007195,adenylate cyclase-inhibiting dopamine receptor signaling pathway,2.0
652,ADCY5,GO:0007204,positive regulation of cytosolic calcium ion concentration,2.0
653,ADCY5,GO:0007626,locomotory behavior,2.0
654,ADCY5,GO:0008179,adenylate cyclase binding,2.0
655,ADCY5,GO:0016020,membrane,2.0
656,ADCY5,GO:0035556,intracellular signal transduction,2.0
657,ADCY5,GO:0045111,intermediate filament cytoskeleton,2.0
658,ADCY5,GO:0046872,metal ion binding,2.0
659,ADCY5,GO:0050885,neuromuscular process controlling balance,2.0
660,ADCY5,GO:0061178,regulation of insulin secretion involved in cellular response to glucose stimulus,2.0
661,ADCY5,GO:0097110,scaffold protein binding,2.0
662,ADCY5,GO:1904322,cellular response to forskolin,2.0
687,ADK,GO:0003723,RNA binding,2.0
688,ADK,GO:0004001,adenosine kinase activity,2.0
689,ADK,GO:0004136,deoxyadenosine kinase activity,2.0
690,ADK,GO:0005524,ATP binding,2.0
691,ADK,GO:0005634,nucleus,2.0
692,ADK,GO:0005654,nucleoplasm,2.0
693,ADK,GO:0005829,cytosol,2.0
696,ADK,GO:0005886,plasma membrane,2.0
697,ADK,GO:0006144,purine nucleobase metabolic process,2.0
698,ADK,GO:0006166,purine ribonucleoside salvage,2.0
699,ADK,GO:0006175,dATP biosynthetic process,2.0
700,ADK,GO:0009156,ribonucleoside monophosphate biosynthetic process,2.0
701,ADK,GO:0016310,phosphorylation,2.0
702,ADK,GO:0032263,GMP salvage,2.0
703,ADK,GO:0044209,AMP salvage,2.0
704,ADK,GO:0046872,metal ion binding,2.0
705,ADK,GO:0106383,dAMP salvage,2.0
746,ADORA3,GO:0001609,G protein-coupled adenosine receptor activity,2.0
747,ADORA3,GO:0001973,G protein-coupled adenosine receptor signaling pathway,2.0
748,ADORA3,GO:0004930,G protein-coupled receptor activity,2.0
749,ADORA3,GO:0005886,plasma membrane,2.0
751,ADORA3,GO:0006954,inflammatory response,2.0
752,ADORA3,GO:0007165,signal transduction,2.0
753,ADORA3,GO:0007186,G protein-coupled receptor signaling pathway,2.0
754,ADORA3,GO:0007190,activation of adenylate cyclase activity,2.0
755,ADORA3,GO:0008016,regulation of heart contraction,2.0
756,ADORA3,GO:0008285,negative regulation of cell population proliferation,2.0
757,ADORA3,GO:0009611,response to wounding,2.0
758,ADORA3,GO:0014061,regulation of norepinephrine secretion,2.0
759,ADORA3,GO:0030336,negative regulation of cell migration,2.0
760,ADORA3,GO:0032088,negative regulation of NF-kappaB transcription factor activity,2.0
761,ADORA3,GO:0042734,presynaptic membrane,2.0
762,ADORA3,GO:0045202,synapse,2.0
763,ADORA3,GO:0098685,Schaffer collateral - CA1 synapse,2.0
764,ADORA3,GO:0099171,presynaptic modulation of chemical synaptic transmission,2.0
787,ADSS2,GO:0000287,magnesium ion binding,2.0
788,ADSS2,GO:0002376,immune system process,2.0
789,ADSS2,GO:0004019,adenylosuccinate synthase activity,2.0
792,ADSS2,GO:0005515,protein binding,2.0
793,ADSS2,GO:0005525,GTP binding,2.0
794,ADSS2,GO:0005737,cytoplasm,2.0
795,ADSS2,GO:0005739,mitochondrion,2.0
796,ADSS2,GO:0005829,cytosol,2.0
797,ADSS2,GO:0006167,AMP biosynthetic process,2.0
799,ADSS2,GO:0006531,aspartate metabolic process,2.0
800,ADSS2,GO:0014074,response to purine-containing compound,2.0
801,ADSS2,GO:0042301,phosphate ion binding,2.0
802,ADSS2,GO:0044208,'de novo' AMP biosynthetic process,2.0
805,ADSS2,GO:0046040,IMP metabolic process,2.0
806,ADSS2,GO:0060359,response to ammonium ion,2.0
807,ADSS2,GO:0070062,extracellular exosome,2.0
808,ADSS2,GO:0071257,cellular response to electrical stimulus,2.0
825,AGAP1,GO:0003924,GTPase activity,2.0
826,AGAP1,GO:0005096,GTPase activator activity,2.0
827,AGAP1,GO:0005515,protein binding,2.0
828,AGAP1,GO:0005525,GTP binding,2.0
829,AGAP1,GO:0005543,phospholipid binding,2.0
830,AGAP1,GO:0005737,cytoplasm,2.0
831,AGAP1,GO:0015031,protein transport,2.0
832,AGAP1,GO:0046872,metal ion binding,2.0
833,AGAP1,GO:0090630,activation of GTPase activity,2.0
834,AGAP2,GO:0003924,GTPase activity,2.0
837,AGAP2,GO:0005096,GTPase activator activity,2.0
839,AGAP2,GO:0005515,protein binding,2.0
840,AGAP2,GO:0005524,ATP binding,2.0
841,AGAP2,GO:0005525,GTP binding,2.0
842,AGAP2,GO:0005634,nucleus,2.0
846,AGAP2,GO:0005654,nucleoplasm,2.0
847,AGAP2,GO:0005737,cytoplasm,2.0
849,AGAP2,GO:0005768,endosome,2.0
850,AGAP2,GO:0005829,cytosol,2.0
851,AGAP2,GO:0015031,protein transport,2.0
852,AGAP2,GO:0016020,membrane,2.0
853,AGAP2,GO:0016197,endosomal transport,2.0
854,AGAP2,GO:0019901,protein kinase binding,2.0
855,AGAP2,GO:0030036,actin cytoskeleton organization,2.0
856,AGAP2,GO:0030295,protein kinase activator activity,2.0
857,AGAP2,GO:0032147,activation of protein kinase activity,2.0
858,AGAP2,GO:0035014,phosphatidylinositol 3-kinase regulator activity,2.0
859,AGAP2,GO:0042177,negative regulation of protein catabolic process,2.0
860,AGAP2,GO:0043524,negative regulation of neuron apoptotic process,2.0
862,AGAP2,GO:0045860,positive regulation of protein kinase activity,2.0
863,AGAP2,GO:0046872,metal ion binding,2.0
864,AGAP2,GO:0061903,positive regulation of 1-phosphatidylinositol-3-kinase activity,2.0
865,AGAP2,GO:0070062,extracellular exosome,2.0
